text,label
@DimaSadek انت الملكة يا ست ديما الله يحميكي و يرد عنك و عن عيلتك و اهلك,0
@DimaSadek شو رأيك يا إم الحريات بالشاب لتقوص بإجرو كرمال ما ينسب السيد. والله حريتكن جايي من باريس و لإلنا من الكو… https://t.co/rEsbtJwjwO,0
يجب اجبار الرجل تحمل المسؤولية تغيير ماجاء القران فمثلا يجب الاب تحمل مصاريف ابنته الغير مزوجة يجب الاخ تحمل مصاريف اخته الغير متزوجة حالة غياب الاب الشئ العم الخل يجب تحمل مسؤولية نساء ذوي القربى يكن يعولهم تغيير قانون ميرات القران اولا ثانيا الدولة تعرف شئ غالي التضخم كبير يحملو الرجل يستطيع يقومون باخراج المراة سوق النخاسة تربح الاموال تكسر رجولة الرجل الدولة ضربت عصفورين بحجر لهف اموال الشعب كسر الرجل الاستفادة لحم المراة حياتها مستقبلها يوزعو التوزيع العادل للثروات الشعب لانهم يطبقون يملون الصهاينة قصة عميقة سطحية استفيقو ايها الرجال المسلمين افهمو الاسلام الصحيح بعيدا التشدد دافعو حقوقكم الحكام النصابين عملاء صهيون,0
كركوز,1
توانسة حاشى الناس الطاهرة قريب ابيعو خياتهم هات,0
قحبا تفوه نيك مك معزة,0
@yumnafawaz شكلك هبله. نحن  طوائف مش بلد يا خالصه,1
اشترت وزارة الخارجية عالقليلة يقولولنا مرسي,0
@USER يا اخي او يا اختي انا وش ابغى في زيت يطول الشعر وانا أقرع عز الله بتفلسون ان كانكم بتدورون زباين مثلي 😅,0
@yumnafawaz والله وانتي عم تحيبي الشماسي وعلب الاكل السخن ولا عمويقبضوكي منيح  يا بتاع النعناعةيا منعنع,0
جهلاء,0
ياشعبي وحبيبي ياروحي يابيبي<LF>ياحاطك في جيبي يا بن الحلال<LF>يا شعبي يا شاطر يا جابر خواطر<LF>يا ساكن مقابر ... وصابر وعال<LF>يا واكل سمومك يا بايع هدومك<LF>يا حامل همومك وشايل جبال<LF>يا شعبي اللي نايم وسارح وهايم<LF>وفي الفقر عايم... URL,0
أنت منافق وفار مز العدالة,1
@USER @USER انا لو منك معبرهاش دي عاقة و مش بتيجيي معانا الكلية يا روان يا صحبتي يا قمر😂😂❤️,1
ههههه كبير وراشد بلي نكرهو بعضانا نهضر الشلايك هاذو ومقلتش متقولنيش حاجا مقلتهاش,0
طب يا متعلمين يا دكاترة يا فهمانين قبل ما تطبعوا الكتاب اعملوا عليه كل تعديلاتكم بعدين اطبعوه,0
@USER يا حبنا لك يا الصعباوي ... وحشتنا خطواتك واهدافك في الملعب,0
RT @USER: انت بتحب يا سيد؟ <LF>=حب اي يا ام السيد. انا عاوز اكل المحشي استوي ولا لسه.. URL,0
كل شخص بيفتري و بيتعرّض ل سمعة جبران باسيل مفروض يتحاسب,0
كلنا معك يا بطل هيدي هيي الرجوله بيضل عموقف واحد مش بيبروم ليحمي حالو ومصالحو اتعلمو من وئام وهاب الشرف,0
يا سري الهادي يا حباً ما ينتهي ..,0
صبيلي كاسة شاي لو سمحتي يا جميلتها,0
@DimaSadek @LBCI_NEWS معلومات عامة: لا يوجد ممثل للحزب في السهرات,0
@DimaSadek يلعن شرفك لممسوح بصرمايه,1
الفيديو موجه حيوان موافق قانون المساواة تفرج جاهل اسمع,0
مخيب خليقتها,0
مسلم حق شاء,0
لطفي العبدلي ناسي تمثيلو مسلسل شوفلي حل اكبر ميبون سموسة ارجل يامنيك ڨداش نكره زك امو تفيييه هالمنظر,0
"@DimaSadek ديما صادق انتي صوت الثورة
انتي صوت المظلومين",0
عم انتحر,0
@DimaSadek خلص كلي خرا يلعن ابو لخلفك شو انك بنت حرام,1
RT @USER: عنيك السود يا طه يا زين ..بصوتي اسمعوها <LF>لو عجبتك لايك وريتويت وسمع غيرك😇😇❤🌸 URL,0
