text,label
﻿اسغي ياشعب تونس تدعوا بالاسلام كفار الحمدلله نعمة الاسلام بلدنا الجزاير,1
قطع يد السارق توفرت الشروط شرط الحد الأدنى قيمة غرام وربع ذكرني مرة أخرى,0
تلوموش لطفي لعبدلي شرف,0
مستغرب شعب يسمع تفاهة شانو لى الدرجة الشعب تافه قالت شانو نبكي تونس زكمونة سامي الفهري نقطة استفهام تونس الايام,0
هههخ غزلتني مافهمتش شمدخلها الموضوع تتنطر وحدها وتنافق هههه,0
ترضى اليهود والنصارى تتبع ملتهم الحمد لله يوجد يهود الجزائر وتربينا كرههم,1
هدشي فالحين النخب العلمانية المدعومة الغرب مساواة المرأة الرجل,0
الموت للاخوان المسلمين,1
سلام اولا العجب والعجيب الناس يعارضون ويؤيدون حكم اراه كفرا وشرك بالله جهة جهة ثانية يجب معرفة الاصل الحكمة حق الرجل بمثل حظ الانثيين باختصار الرجل المسؤول الانفاق اولاده العكس الحال طلب الرجال النفقة لابد متساوية,0
حولا بالله العلي العظيم الراجل ينصح وحب اعاونك وليت اتقلو راجل ايفكر اذهب,0
تكلام تونس تونس بلاد الدعارة الخماج تفوووو بلاد اليهود سهاينة ربي صلاط دعش يقطعلكم الرؤس,1
زوبعة فنجان,0
هههه جماعت التاريخ مرا تحكي علاها قحبة فرق عصبة طحين تفشليم,1
للاسف رجال تونس اصبحو نسوان,1
تكذب تبين كلامك حرفناش القران البسملة كامل كتاباتنا نحاوها لساننا التربية الاسلامية الليسي زلت نقراها الصح تعرفش دزاير,0
عطيهم الصحة دولة الامارات منعت عاهرات تونس القدوم لدولتهم للعمل تجارة الجنس قرب رأس السنة الميلادية الجزائريين صورة بنات تونس مسخة بلادنا لله يسرنا,1
معلومة تونس المسلم والكافر ترى بسب وقذف المسلمين يرضى أردت سب الكفار فرق تجمع وأختر الألفاظ والوصف الصحيح,0
تعرفي اختي تونس مليانه الافارقة المغرب سمعت الشيء,0
الحرب الإسلام والمسلمين وصلت ديار القيروان بالله اللهم دمر الكفار والمنافقين بلاد الإسلام العالم اينعت رؤوس الظالمين تونس الإسلام لاشيء,1
صرم امك بريك البريك احشاها ترم,1
سيبوها مريم,0
برافو مايا,0
هخخخ وافهم حسيته انتاعه اليتيوب السيد قاله ملين ياولدي تتفرج فديوهاته,0
محلها المذيعة حراكتها حلوى,0
والله مساكين التوانسه علاقه بالدين الزلت والتفرعين نسو فانساهم انفسهم يهديكم,0
للمساواة الرجل المرأة الميراث عاش النظام العلماني التقدمي,0
لطف ربي,0
المساواة الميراث حكايا فارغه وموضوع تافه مافيش نقاش سبحانه وتعالى فسره كتابه الكريم الرجل النصيب الكبر يعلموا تعلمون والله يهدي مؤمن,0
حسبنا ونعم الوكيل تونس وحكام تونس وشعب تونس,0
شمدخل لموضوع الزوالي والعرس تحكي درة زروق طريقة الكلام تافهة مسيبة المضمون ومركزة المضهر,0
مايا قليلة تربية ياسين تفوق الارتباك واضح ياسين مستواه اقوى يستطيعو مجارته صوت مايا الجمها برافووو ياسيين,0
ايعيش اختي محلاها تعرف تعبر وتقنع تفووووووووه,0
عبالكم توانسة كنسار الامة الاسلامية اففففف ربي يهديكم اقصد,1
شمس متربي برشه,0
صرمك,1
اصلك قرد تطورت امامي انسان لقرد ولااتعجب قنبلة شواذ رئيسكم دابة يتكلم انسانية وحقوق ومساواة,1
همجية مدنية علمانية حضارة مدنية الشريعة الاسلامية النظام اعطاه لمسلمين يعجبكم لاتسمون انفسكم مسلمين,0
صحيتك السود تونس كفشلوا قالوا يحبوناش سود شيئ يضحك السود يحبوا يسيسوا قضية وجود اﻻ عقولهم البسيطة والسطحية أسود معقد لونك وأقول طبيبا نفسيا,1
انسنارابيا,0
حقوق ترشتك امشي دور حقوقك بلادك جاي لبلاد عالم اقتصادها تعبان حقوق يرجى العسل تينة الدبور,0
ترجمة سمحت,0
يلعن بوكم شعب الكافرون,1
الحريات الفردية اوالحريات بصفة وقتو نحكيو,0
المشكل المرأة تقود الطائرة المشكل التونسية تتاجر زبورها,1
كريم برافو برافو القحبة مايا نقولك يعطك عصبة العصبة اشرف مرة اكبر شماتااااا تتحرم العصبة طول حياتك,1
نمشي الني العصبة بعاثتهالي نجي النيكك خر,1
تحكى عورة منغير حجاب وشعرك عريان عورة تحكي العورة حجابك تحكي العورة مايا النبي صلى وسلم الحديث نساء كاسيات عاريات مميلات يدخلن الجنة يشمنا ريحها حديث خطير النبي صلى وسلم مازلت ميش تحب تتحجب ربي يهدي بنات تونس نحبولهم لخير,1
لاحظت التوانسة كامل منحازين الفاملات,0
التونسيين قصف تونس,0
شمس متربي لطفي وراجل,0
لطفي شخص حقير وغير محترم وسمج شمس الدين باشا رجولة الاحترام اخلاقه وتربيته ماسمحتله يرد بنفس اسلوبه تحية شمووسي ياغالي مهجه الصباح,1
إنسان فارغ فكريا,0
صحيح تونس ازدواجية الجنسية وماتعيشش باقامة تونس نكرهها القانون تونس,0
قلقتني لعبدة تحط روحا شبعتي رخس,0
أعوذ بالله الشيطان الرجيم,0
هآلقح بة مي لوكان ياو لاد نعل قها,1
ممسطك مروى لى ساعات انحسك ماسطة مساطك هلكت الذوق العام راديو ماد طيح الرداءة الموجودة التلافز التونسية قارية بوزار تخدم راديو هههههههههه تنجح أكيد,0
مودب فانتي مكش راجل,0
لونه بسعوديه نبحتوا لين ونهار بهائم,1
أفكار وآراء تنفع الناس واعية تفهم جملة القضايا همك الميراث الدرجة معاقة فكريا الثمار الخارثة والمصخة جابتها الثورة خلاتنا نندمو عالنهار قررنا نعملو ثورة طلعتلنا الرهوط,1
أصدقاء غرب إفريقيا ووسطها يدرسون وجدة أناس طيبين,0
يعجز الليسان الكلام والله راسي حبس وصل الحال لمحاربة سبحانو وتعالى حبيتو ترجعو يهود عيب عيب تروحو ربي النار توكلكم,1
ليبيا ترحب يمسلم ياحر,0
تمثيل فاشل ناس تافهااااا,0
بلد دين اخلاق,1
ماهي يخ إمام جامع,0
خرجتو زين العبدين وجبتو عميل الماسون,0
زوج شمس لطفي زوج ماصطين,0
الإعلامي تافهه المرأة اتفه والله تملك الجمال مفبركة,0
محلاها المذيعة مرة نسمعها محلاها,0
هالكلبة صبابة الفلوس اتبيع وطنها جيبنها وعاملين قيمة ابلاصتها الحبس,1
تفوه الإسلام متاعكم,1
خويا صح مكرهينهم رب حياتهم ماناش تحاميو زبي نساء تحكم خاوتنا بنات يسهروا لنص الليل يشوف بالتشتناف نسكتولوا المخنث يعدي فالتلفزة العمركم شفتوا مخنث جزائري عداوه التلفزة نيمكو القحبة القناة تتقفل,1
مخص عقلها جيش مريم قول كلاب مريم شعب تونسي يكرها جيش كونشي الحاسه متعها,0
شمس دين مؤدب برغم سي خونا لابس كيلو فلفل يتلغبب,0
يخرج السبسي الصليبي معامل خمر يصبح خارجي,1
اهدري روحك تحكي الجزاير احترمي روحك فايحة زوج حطب جهنم والى عاجبك هادا شاذ ومخنث,1
