text,label
  اي نحن ما منقبلها صرماية بإجرنا ...مبروك.ع راسكم,1
 نوال شو قصتك كل يوم بتاكلي قتله شو صاير معك شي اليوم طمنينا عنك .,0
 انشالله بيقبر قلبك عن قريب ...يافهيمة عصرك,1
 _  يسلم لسانك من مصر يا ديما نحن معك,0
"  من بجيب الحشيش عبيروت ؟ 
بعلبك يعني انتو",0
 فعلاً الثورة أنثى، برافو ديما,0
 يخرب بيتك حبيتك,0
 انك بكل تواضع سفيهة منحطة عديمة المبدأ، ويجوز فيك القول بل يجب انك وضيعة، لست إلا مأمورة غبية تحتاجين ال… ://./68,1
 ضبي لسانك احسنلك ��,1
 يا حمارة يا صهيونية يا عاهرة هؤلاء بفضلهم انت لست في خضن تكفيري الا اذا كنت تحبين النغير,1
 كلنا #ديما_صادق ، #لبنان_ينتفص #انتو_احلى_عالم,0
 : إمرأه بكل رجالهن و زعمائهم. كلمة الحق لما تفعل فعلها بفئه ظالميه مستعبده. كلنا معك. انت بتقوينا #كلنا_ديما_صادق ,0
 آه يا حنونة انت    ال ١٣ يوم من قطع الطرقات ما ابكتكي المهم ان تبكي متأخرة من ان لا تبكي,0
 ديما لحزب وقع طيارة لأهلك بقصد إسرائيلي,1
 ابكي بترتاحي,1
 السيد يا حمارة,1
 انشا الله ليقبر قلبك,1
  بتاخدي العقل، الله يحميكي ويعطيكي العافية,0
99_  بس يا بهلة,1
 لو حدا غيرك يلّي حاطت التغريدة كان ممكن فكّر اتأكّد من صحّة الخبر. بس إنت شهادتك مجروحة بالحقد الأعمى على #حزب_الله,0
 انت دائما تمثلين المرأة الحرة التي تتمتع بالنقد البناء والتي تدافعين عن قضايا هذا المجتمع. فتحية لك و لكل حر مستقل في هذا البلد.,0
1  ما فهمانة هالمخلوقة كيف بيعتبروها صحفية,0
 يا مريضة موتي,1
" قال لن يسقط العهد يا حمارة 
#ديما_الواطية �",1
 لما تكوني عمتشتغلي ب قناة فتنويه واعلام موجه ضد (بيئتك ) فئة معينه ، بدك تتحملي ردود الفعل . عفكرا كنت مفكرك احسن من هيك,0
 انشالله بيقبرك إنتي وعيلتك�,1
 انا ضد تناول الأشخاص بعائلاتهم، معيب هل شعار برأي ... خلونا نخلي اللغة حضارية,0
 قال لا نؤيد حاجي تحريف يا #ديما_الواطية,1
 يلعن شرفك بصباطي يا شرشوحه,1
 يا ريت اكلتي شي كف عا نيعك,1
 اولاً الاحترام واجب السيد حسن غصبن عن رأسك مش حسن لانك إعلامية بدون احترام,1
 سلامة قلبكن,0
  يا شاطرة، الله يحمي لبنان,0
 ان شاء الله بيقبرك وبنرتاح منك. اذا السيد خيفان هههه. من اسرائيل  ما خفنا منا بدك نخاف منكون يا صعاليك.… ://./6,1
 إنت وحدة بلا أخلاق وبلا أدب.عم تتمسخري على رئيس الجمهورية. عندو ولاد قد بييك وإمك. تقبلي حدن يتمسخر على… ://./588,1
 انا ضد الاسفاف والتناول الشخصي وضد فائض القوه وعدم سماع مطالب الناس.ووجعها والرد على الغضب بالعنف والقوه وصم الاذان ِ,0
نانسي السبع من ساحة رياض الصلح: اشكال يحصل الآن علماً انه لم يأتِ احد على ذكر الامين العام لحزب الله وهناك كلام على ان هذا الامر مُحضَّر.,0
 ولي الله يلعن لي قال لأمك مبارك ما اجاكي��‍♀️��‍♀️,1
 ما ابشعك,1
   انتبهي فقد عاد المسعورين,0
"17 
ما خصنا هول رفقاتك �",0
  مناطق غالبيه مسلمه ليست شيعيه ولا دين آخر ! فلم يسمحوا لهم بالتعبير عن رأيهم؟,0
" ما اذكاكي!!!!!!! اووووووف بتعرفي بالمونتاج!!!! واااااو شو خل الثقافي!!!!!! مش شعر بدنا!!!.
طيب خلص يلا رجعي على الخسة.",1
 خلص ما تزعلي انتِ ايقونة الثورة�,0
1 21216444  خلينالك لهضامي إلك ولثورة,0
 لا تكون طريق امك ومش عارفين ابديش زفر,0
  يبعتلك قص لسانك بلا اخلاق,1
